,snippet,link,date_published,text,like_count,reply_parent_id,source,cleaned_text,topic
174,Sa US sanction lhat may ari at billion bnabayad jan,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwlUX5uHJW6UQIMnwJ4AaABAg,2024-08-06 02:02:57+00:00,Sa US sanction lhat may ari at billion bnabayad jan,0,,youtube,sa u sanction lhat may ari billion bnabayad jan,3
175,kasuhan  ang companya at pag bayarin ang may ari ng mga tanker,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzjkKJ71CjfMhMofnx4AaABAg,2024-08-06 02:00:34+00:00,kasuhan  ang companya at pag bayarin ang may ari ng mga tanker,3,,youtube,kasuhan ang companya pag bayarin ang may ari ng mga tanker,2
176,Na KARMA tuloy kayo sa China nung Binaha 😂,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugy3rfWJu1njDZ-Mudt4AaABAg,2024-08-06 02:00:07+00:00,Na KARMA tuloy kayo sa China nung Binaha 😂,0,,youtube,na karma tuloy kayo sa china nung binaha 😂,2
177,sinabotahe yan.. halata masyado.. wla naman ganyan nuon.. ngyon sabay sabay.. sino man may gawa nyan sana ma karma ka.,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwKXX-MNmbrVroa2Et4AaABAg,2024-08-06 01:53:06+00:00,sinabotahe yan.. halata masyado.. wla naman ganyan nuon.. ngyon sabay sabay.. sino man may gawa nyan sana ma karma ka.,0,,youtube,sinabotahe yan.. halata masyado.. wla naman ganyan nuon.. ngyon sabay sabay.. sino man may gawa nyan sana karma ka.,1
178,Cast Guard kasi e,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwI-x4Kajx2Wh1X8m14AaABAg,2024-08-06 01:47:51+00:00,Cast Guard kasi e,0,,youtube,cast guard kasi e,0
179,ang tanong Buhay paba ang mga tao dun sa barko na lumubog,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugy3yQGjUxEaLWNflCR4AaABAg,2024-08-06 01:46:05+00:00,ang tanong Buhay paba ang mga tao dun sa barko na lumubog,0,,youtube,ang tanong buhay paba ang mga tao dun sa barko na lumubog,3
180,Lumubog ba talaga or sadyang pinalubog ?????,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzXo1BNUifFJrjSo194AaABAg,2024-08-06 01:43:43+00:00,Lumubog ba talaga or sadyang pinalubog ?????,1,,youtube,lumubog ba talaga sadyang pinalubog ?????,1
181,Pinalubog ni carina,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzXo1BNUifFJrjSo194AaABAg.A6mNWIGRa1TA6n8HKokM_F,,Pinalubog ni carina,0,UgzXo1BNUifFJrjSo194AaABAg,youtube,pinalubog ni carina,3
182,Sinadya ata yan para masira ang dolomite beach,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxHQfk12RzIEzTBfRp4AaABAg,2024-08-06 01:42:45+00:00,Sinadya ata yan para masira ang dolomite beach,0,,youtube,sinadya ata yan para masira ang dolomite beach,1
183,Dto dn po sa singapore bwal p maligo sa dagat,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxRjthsaa1WwgFW-zt4AaABAg,2024-08-06 01:38:49+00:00,Dto dn po sa singapore bwal p maligo sa dagat,1,,youtube,dto dn po sa singapore bwal p maligo sa dagat,0
184,papanagutin may ari ng mga barko na yan  o kaya palinis nyo sa kanya,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgyDkRPEk_HAt4LXgYl4AaABAg,2024-08-06 01:35:21+00:00,papanagutin may ari ng mga barko na yan  o kaya palinis nyo sa kanya,0,,youtube,papanagutin may ari ng mga barko na yan kaya palinis nyo sa kanya,3
185,Baka maapektuhan kabuhayan nyo !<br>Takteng tanong yan 😂 nkakatanga,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugxax4L4khzNhYmFpRZ4AaABAg,2024-08-06 01:33:20+00:00,"Baka maapektuhan kabuhayan nyo !
Takteng tanong yan 😂 nkakatanga",0,,youtube,baka maapektuhan kabuhayan nyo ! takteng tanong yan 😂 nkakatanga,1
186,maganda yan darami lalo langis sa pinas,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwqRQK5Ohs5iKN8r4N4AaABAg,2024-08-06 01:23:58+00:00,maganda yan darami lalo langis sa pinas,1,,youtube,maganda yan darami lalo langis sa pinas,3
187,Tanggalin nyo pcg navy dyn,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugx_t7hmjiIASRfwZON4AaABAg,2024-08-06 01:17:52+00:00,Tanggalin nyo pcg navy dyn,0,,youtube,tanggalin nyo pcg navy dyn,2
188,Maaring walang lasang langis yung mga lamang dagat na chinibog niyo sa budol fight dahil sa mga ingredients na inihalo pero yung chemical ng langis hindi maaalis yun nandun pa rin yun nakain niyo na sabi ng doctor pwedeng maging sanhi ng cancer yan.,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugy03UGHKgGWXoz0pt54AaABAg,2024-08-06 01:15:51+00:00,Maaring walang lasang langis yung mga lamang dagat na chinibog niyo sa budol fight dahil sa mga ingredients na inihalo pero yung chemical ng langis hindi maaalis yun nandun pa rin yun nakain niyo na sabi ng doctor pwedeng maging sanhi ng cancer yan.,0,,youtube,maaring walang lasang langis yung mga lamang dagat na chinibog niyo sa budol fight dahil sa mga ingredient na inihalo pero yung chemical ng langis hindi maaalis yun nandun pa rin yun nakain niyo na sabi ng doctor pwedeng maging sanhi ng cancer yan.,1
189,Hindi yan simpleng problema .. dapat urgency Ang matter na yan .. naku malaki epekto nyan,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxbGYH2o4zLPaZTDtx4AaABAg,2024-08-06 01:10:22+00:00,Hindi yan simpleng problema .. dapat urgency Ang matter na yan .. naku malaki epekto nyan,5,,youtube,hindi yan simpleng problema .. dapat urgency ang matter na yan .. naku malaki epekto nyan,3
190,"Hindi nila ginusto yan, pero malaking kapabayaan yan. Gumalaw galaw na kayo maraming mangingisda ang maapektuhan niyan, lalo na ang mga taong makakalanghap niyan. Roxas blvd at affected areas.",https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugz7H_wd1nAXjarulPR4AaABAg,2024-08-06 00:57:45+00:00,"Hindi nila ginusto yan, pero malaking kapabayaan yan. Gumalaw galaw na kayo maraming mangingisda ang maapektuhan niyan, lalo na ang mga taong makakalanghap niyan. Roxas blvd at affected areas.",0,,youtube,"hindi nila ginusto yan, pero malaking kapabayaan yan. gumalaw galaw na kayo maraming mangingisda ang maapektuhan niyan, lalo na ang mga taong makakalanghap niyan. roxas blvd affect areas.",1
191,Minsan lng makakabwelo sa pag hahanap buhay ehh,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugx8toOIEem2Rb1d-cF4AaABAg,2024-08-06 00:51:59+00:00,Minsan lng makakabwelo sa pag hahanap buhay ehh,0,,youtube,minsan lng makakabwelo sa pag hahanap buhay ehh,3
192,Ang daming ignoratne sa comment section,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugx_mmFDg0DyXVlXavl4AaABAg,2024-08-06 00:43:23+00:00,Ang daming ignoratne sa comment section,0,,youtube,ang dam ignoratne sa comment section,3
193,Ginawang basurahan yong dagat nila ang dumi walang disiplina sa kalinisan ng kapaligiran,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugz8xipkeT1e3Gsc_Kl4AaABAg,2024-08-06 00:29:22+00:00,Ginawang basurahan yong dagat nila ang dumi walang disiplina sa kalinisan ng kapaligiran,0,,youtube,ginawang basurahan yong dagat nila ang dumi walang disiplina sa kalinisan ng kapaligiran,0
194,Kung kailan may ganyang trahedya tsaka pa ma iisipan mag lilinis ng basura 😢😢😢,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxwT8w9eCVIHLTVmix4AaABAg,2024-08-06 00:28:13+00:00,Kung kailan may ganyang trahedya tsaka pa ma iisipan mag lilinis ng basura 😢😢😢,4,,youtube,kung kailan may ganyang trahedya tsaka pa iisipan mag lilinis ng basura 😢😢😢,1
195,Sa huli talaga,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxwT8w9eCVIHLTVmix4AaABAg.A6mEsDq4B1pA6mzyN-_Uyy,,Sa huli talaga,2,UgxwT8w9eCVIHLTVmix4AaABAg,youtube,sa huli talaga,0
196,Ganyan tlga sa Amaya at julugan haha,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxwT8w9eCVIHLTVmix4AaABAg.A6mEsDq4B1pA6ogpTjENb-,,Ganyan tlga sa Amaya at julugan haha,0,UgxwT8w9eCVIHLTVmix4AaABAg,youtube,ganyan tlga sa amaya julugan haha,2
197,Perwesyu talaga dagdag problema 😔😔😞,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgyjzwY3Fx2cvSDH8_14AaABAg,2024-08-06 00:13:57+00:00,Perwesyu talaga dagdag problema 😔😔😞,2,,youtube,perwesyu talaga dagdag problema 😔😔😞,3
198,Wala po kasi disiplina ang tao sa totoo po😭😭😭😭😭😭😭🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzjfmCq0oP9SZSom-p4AaABAg,2024-08-05 23:57:21+00:00,Wala po kasi disiplina ang tao sa totoo po😭😭😭😭😭😭😭🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,3,,youtube,wala po kasi disiplina ang tao sa totoo po😭😭😭😭😭😭😭🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,0
199,Panong wlang disiplina eh pinataob nga ng bagyo kahina mo nman,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzjfmCq0oP9SZSom-p4AaABAg.A6mBLEA0KZMA6n8TmGpPkM,,Panong wlang disiplina eh pinataob nga ng bagyo kahina mo nman,1,UgzjfmCq0oP9SZSom-p4AaABAg,youtube,panong wlang disiplina eh pinataob nga ng bagyo kahina mo nman,1
200,Sinadya yan para dagdagan ang problema ng govt at matuon as primary issues. Isa pa mga smugglers at mga corrupt at para madivert ang issues sa mga ginagawang investigation ng mga mambabatas,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwQdOuJ7lk3_kouRtJ4AaABAg,2024-08-05 23:51:12+00:00,Sinadya yan para dagdagan ang problema ng govt at matuon as primary issues. Isa pa mga smugglers at mga corrupt at para madivert ang issues sa mga ginagawang investigation ng mga mambabatas,0,,youtube,sinadya yan para dagdagan ang problema ng govt matuon primary issues. isa pa mga smuggler mga corrupt para madivert ang issue sa mga ginagawang investigation ng mga mambabatas,3
201,ano ang ginagawa ng gobyerno? hayy,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgysVjwJBYumFkM2WT94AaABAg,2024-08-05 23:43:07+00:00,ano ang ginagawa ng gobyerno? hayy,0,,youtube,ano ang ginagawa ng gobyerno? hayy,4
202,Bakit di pinag uusapan ang monetary compensation kasi kapag may lumubog na barko naka insured yan ahmmm litaw na pala damages sa mga mangingisda sino sino na naman kaya makikinabang dun sa tinatawag na environmental damage na babayaran at dapat may livelihood damage compensation yan sino kaya may ari nung mga barko na yan bakit di imbestigahan halatang nililihis ni kmjs yung story ang imbestigahan yung ship owner ano ang environmental and livelihood damage compensation plan napaisip tuloy ako sadyang mababaw nga ba mag isip ang mga mamahayag or sadyang ang media sa pinas ay centralized parang aircon kung ano lang ang gusto ipakita yun nalang and naka focus para protektahan ang malalaking tao magkano kaya bayad para magbalita ng ganayan na lihis lol,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzM6X7L6jQURzmt70V4AaABAg,2024-08-05 23:25:24+00:00,Bakit di pinag uusapan ang monetary compensation kasi kapag may lumubog na barko naka insured yan ahmmm litaw na pala damages sa mga mangingisda sino sino na naman kaya makikinabang dun sa tinatawag na environmental damage na babayaran at dapat may livelihood damage compensation yan sino kaya may ari nung mga barko na yan bakit di imbestigahan halatang nililihis ni kmjs yung story ang imbestigahan yung ship owner ano ang environmental and livelihood damage compensation plan napaisip tuloy ako sadyang mababaw nga ba mag isip ang mga mamahayag or sadyang ang media sa pinas ay centralized parang aircon kung ano lang ang gusto ipakita yun nalang and naka focus para protektahan ang malalaking tao magkano kaya bayad para magbalita ng ganayan na lihis lol,4,,youtube,bakit di pinag uusapan ang monetary compensation kasi kapag may lumubog na barko naka insure yan ahmmm litaw na pala damage sa mga mangingisda sino sino na naman kaya makikinabang dun sa tinatawag na environmental damage na babayaran dapat may livelihood damage compensation yan sino kaya may ari nung mga barko na yan bakit di imbestigahan halatang nililihis ni kmjs yung story ang imbestigahan yung ship owner ano ang environmental livelihood damage compensation plan napaisip tuloy ako sadyang mababaw nga ba mag isip ang mga mamahayag sadyang ang medium sa pinas ay centralize parang aircon kung ano lang ang gusto ipakita yun nalang naka focus para protektahan ang malalaking tao magkano kaya bayad para magbalita ng ganayan na lihis lol,1
203,Nobody mess with san miguel,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzM6X7L6jQURzmt70V4AaABAg.A6m7gEBeFu6A6qhNB6TIio,,Nobody mess with san miguel,0,UgzM6X7L6jQURzmt70V4AaABAg,youtube,nobody mess san miguel,3
204,SINADYA YAN NG GOBYERNO PALABAS NA YAN PARA MAGPALABAS NA NAMAN SILA NG AYUDA AYUDA PARA MAGPA POGI,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgyOey1ZK2DrsK4c5YZ4AaABAg,2024-08-05 23:12:31+00:00,SINADYA YAN NG GOBYERNO PALABAS NA YAN PARA MAGPALABAS NA NAMAN SILA NG AYUDA AYUDA PARA MAGPA POGI,0,,youtube,sinadya yan ng gobyerno palabas na yan para magpalabas na naman sila ng ayuda ayuda para magpa pogi,2
205,PARANG SINASADYA YAN MAGPALABAS NG GANYAN SCENARIO,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgynfymUVvOWD_bBqrZ4AaABAg,2024-08-05 23:10:54+00:00,PARANG SINASADYA YAN MAGPALABAS NG GANYAN SCENARIO,0,,youtube,parang sinasadya yan magpalabas ng ganyan scenario,2
206,tsk tsk ..mga pol[pol,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzcvdRKfTYTLVu5_pp4AaABAg,2024-08-05 23:02:04+00:00,tsk tsk ..mga pol[pol,0,,youtube,tsk tsk ..mga pol[pol,1
207,Kawawa nmm mangingisda...managot dapat managot😠,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugwb94YuVW8KqOYcx4V4AaABAg,2024-08-05 22:57:53+00:00,Kawawa nmm mangingisda...managot dapat managot😠,7,,youtube,kawawa nmm mangingisda...managot dapat managot😠,0
208,Sabotahe yan...,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwKWU2hW6HyEY76DBp4AaABAg,2024-08-05 22:57:43+00:00,Sabotahe yan...,0,,youtube,sabotahe yan...,1
209,Ano marcos MAKUPAD parang noynoy lng🖕😠,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxCkP9nHph8JZLsLsp4AaABAg,2024-08-05 22:52:21+00:00,Ano marcos MAKUPAD parang noynoy lng🖕😠,1,,youtube,ano marcos makupad parang noynoy lng🖕😠,0
210,Kasuhan Yan At Pagbayarin Ng Danyos Para sa Mga Apektado,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugzq5OSepqiaMGkSBh94AaABAg,2024-08-05 22:49:34+00:00,Kasuhan Yan At Pagbayarin Ng Danyos Para sa Mga Apektado,0,,youtube,kasuhan yan pagbayarin ng danyos para sa mga apektado,4
211,Walang managot diyan dahil disgrasya yan.....bagyo ehh,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugz7DQCFdlRP7eea3uh4AaABAg,2024-08-05 22:40:36+00:00,Walang managot diyan dahil disgrasya yan.....bagyo ehh,0,,youtube,walang managot diyan dahil disgrasya yan.....bagyo ehh,0
212,"Jusmiyo! grabe ang ngyari sobrang kawawa nman, ang mga isda at mangingisda...sana matanggal na ang mga langis na kumalat...isipin nyo 3 barko ba nmn daming kargang langis",https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwmV9TZdTbOYDg8Zit4AaABAg,2024-08-05 22:34:58+00:00,"Jusmiyo! grabe ang ngyari sobrang kawawa nman, ang mga isda at mangingisda...sana matanggal na ang mga langis na kumalat...isipin nyo 3 barko ba nmn daming kargang langis",15,,youtube,"jusmiyo! grabe ang ngyari sobrang kawawa nman, ang mga isda mangingisda...sana matanggal na ang mga langis na kumalat...isipin nyo 3 barko ba nmn dam kargang langis",0
213,asan na yung mga tuwang tuwa nung tinamaan ang china ng bagyo?,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwB7XSwyQ0o8__ugHR4AaABAg,2024-08-05 22:29:59+00:00,asan na yung mga tuwang tuwa nung tinamaan ang china ng bagyo?,3,,youtube,asan na yung mga tuwang tuwa nung tinamaan ang china ng bagyo?,4
214,"Oo nga nasan na ang paghangad ng pangit sa kapwa may balik talaga yan,.imbis na ipagdasal tuwang tuwa pa,.",https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwB7XSwyQ0o8__ugHR4AaABAg.A6m1LE6AL3XA6vDq_OgCe9,,"Oo nga nasan na ang paghangad ng pangit sa kapwa may balik talaga yan,.imbis na ipagdasal tuwang tuwa pa,.",0,UgwB7XSwyQ0o8__ugHR4AaABAg,youtube,"oo nga nasan na ang paghangad ng pangit sa kapwa may balik talaga yan,.imbis na ipagdasal tuwang tuwa pa,.",0
215,Told you God is watching....yung mga tumawa sa China sa bagyo ayon binalik satin,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwB7XSwyQ0o8__ugHR4AaABAg.A6m1LE6AL3XA6vlUM5CYa4,,Told you God is watching....yung mga tumawa sa China sa bagyo ayon binalik satin,0,UgwB7XSwyQ0o8__ugHR4AaABAg,youtube,tell god watching....yung mga tumawa sa china sa bagyo ayon binalik satin,4
216,Paulitulit nalang bakit di Kasi magpagawa nang mga advance na kahamitan para masolusyunan kaagad pag maynangyaring mga ganyan pinas tlaga😢,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxwUL0yCRb1lAwKfOx4AaABAg,2024-08-05 22:14:50+00:00,Paulitulit nalang bakit di Kasi magpagawa nang mga advance na kahamitan para masolusyunan kaagad pag maynangyaring mga ganyan pinas tlaga😢,0,,youtube,paulitulit nalang bakit di kasi magpagawa nang mga advance na kahamitan para masolusyunan kaagad pag maynangyaring mga ganyan pinas tlaga😢,3
217,May suggestion kang kagamitan? 😂😂😂,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxwUL0yCRb1lAwKfOx4AaABAg.A6m-bIWDsRWA6mHktT5Ssl,,May suggestion kang kagamitan? 😂😂😂,0,UgxwUL0yCRb1lAwKfOx4AaABAg,youtube,may suggestion kang kagamitan? 😂😂😂,1
218,Mga Abnormal kce kapitan Ng mga barko na eto . Kung normal lang sana isip nila common sense ang paiiralin. Nakaka lungkot lng pati common sense wala sa 3 Kapitan.,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwSD3vTIGHA3TG__hR4AaABAg,2024-08-05 22:07:51+00:00,Mga Abnormal kce kapitan Ng mga barko na eto . Kung normal lang sana isip nila common sense ang paiiralin. Nakaka lungkot lng pati common sense wala sa 3 Kapitan.,0,,youtube,mga abnormal kce kapitan ng mga barko na eto . kung normal lang sana isip nila common sense ang paiiralin. nakaka lungkot lng pati common sense wala sa 3 kapitan.,0
219,Yan ang gusto ng ibang politiko lalo na malapit na election daming eepal,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwqMxIz_CViXRTgL2B4AaABAg,2024-08-05 22:02:23+00:00,Yan ang gusto ng ibang politiko lalo na malapit na election daming eepal,0,,youtube,yan ang gusto ng ibang politiko lalo na malapit na election dam eepal,3
220,Ang higpit Ng coast guard sa mga pangbyaheng sasakyan pang dagat ero sa mga cargo walang pakialam ganyan Ang coast guard sa pinas bulok Ang sistima,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzIFkDdIFy3AoHKGgZ4AaABAg,2024-08-05 22:00:38+00:00,Ang higpit Ng coast guard sa mga pangbyaheng sasakyan pang dagat ero sa mga cargo walang pakialam ganyan Ang coast guard sa pinas bulok Ang sistima,0,,youtube,ang higpit ng coast guard sa mga pangbyaheng sasakyan pang dagat ero sa mga cargo walang pakialam ganyan ang coast guard sa pinas bulok ang sistima,0
221,Feeling ko binayaran ng CHINA  mga yan para masabotahe yung karagatan naten&quot;,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzObVfkvdAg7IEuJ8J4AaABAg,2024-08-05 21:55:46+00:00,"Feeling ko binayaran ng CHINA  mga yan para masabotahe yung karagatan naten""",0,,youtube,"feel ko binayaran ng china mga yan para masabotahe yung karagatan naten""",4
222,"Next up, senate hearings for weeks.  Coast Guard and other govt agencies will be blamed.  Govt will award millions to the owner of tankers.   Fishermen will likely be blamed also for complaining.  Mabuhay Pinas!",https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxUf2GeDMGZ-oFlgiF4AaABAg,2024-08-05 21:37:07+00:00,"Next up, senate hearings for weeks.  Coast Guard and other govt agencies will be blamed.  Govt will award millions to the owner of tankers.   Fishermen will likely be blamed also for complaining.  Mabuhay Pinas!",0,,youtube,"next up, senate hearing weeks. coast guard govt agency blamed. govt award million owner tankers. fisherman likely blame also complaining. mabuhay pinas!",0
223,kahina-hinala. tatlong sabay sabay. hmmmm,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzYUbLVXB9pQIcJnu94AaABAg,2024-08-05 21:23:53+00:00,kahina-hinala. tatlong sabay sabay. hmmmm,0,,youtube,kahina-hinala. tatlong sabay sabay. hmmmm,1
224,Natural disaster Yan walang kasalanan Yung shipping company <br>Ayusin mo makinig,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzYUbLVXB9pQIcJnu94AaABAg.A6lumCn4AYZA6lvzNKqmDz,,"Natural disaster Yan walang kasalanan Yung shipping company 
Ayusin mo makinig",0,UgzYUbLVXB9pQIcJnu94AaABAg,youtube,natural disaster yan walang kasalanan yung ship company ayusin mo makinig,0
225,Anong penalty ang meron sa 3 ships na lumubog? Anong next steps ng govt?,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwzgPP_-4cjkbdnNkF4AaABAg,2024-08-05 21:23:09+00:00,Anong penalty ang meron sa 3 ships na lumubog? Anong next steps ng govt?,0,,youtube,anong penalty ang meron sa 3 ship na lumubog? anong next step ng govt?,1
226,Takot Sila Kasi San Miguel Yun,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwzgPP_-4cjkbdnNkF4AaABAg.A6lugpK80AIA6m4kFs_onY,,Takot Sila Kasi San Miguel Yun,0,UgwzgPP_-4cjkbdnNkF4AaABAg,youtube,takot sila kasi san miguel yun,3
227,Ask KO Lang po....nasaan ung Barko n bumunggo daw SA Flood Control?...mejo naguluhan ako ..,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwGGKraJsP7MeMaIZF4AaABAg,2024-08-05 21:20:59+00:00,Ask KO Lang po....nasaan ung Barko n bumunggo daw SA Flood Control?...mejo naguluhan ako ..,0,,youtube,ask ko lang po....nasaan ung barko n bumunggo daw sa flood control?...mejo naguluhan ako ..,3
228,my God maawa Po Kayo sa amin.,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugxe_iMBixSPk3FgewV4AaABAg,2024-08-05 21:13:51+00:00,my God maawa Po Kayo sa amin.,2,,youtube,god maawa po kayo sa amin.,4
229,Isisi niyo uli sa Gobyerno. Ganyan naman Lagi.,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzLEKRWByHPUkg7yUd4AaABAg,2024-08-05 20:50:11+00:00,Isisi niyo uli sa Gobyerno. Ganyan naman Lagi.,0,,youtube,isisi niyo uli sa gobyerno. ganyan naman lagi.,4
230,bket pinayagan pumalaot eh may bagyo?<br><br>pbbm ano na?,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugwl_mmoizyDee59WF14AaABAg,2024-08-05 20:34:19+00:00,"bket pinayagan pumalaot eh may bagyo?

pbbm ano na?",0,,youtube,bket pinayagan pumalaot eh may bagyo? pbbm ano na?,2
231,Tapos hindi na naman mananagot ang mga mayari ng mga barko na yan. Nakakatawa ang gobyerno ng pilipinas. Nakakaawa mga kababayan natin,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzrHMQPIGxRVXe_r114AaABAg,2024-08-05 20:16:52+00:00,Tapos hindi na naman mananagot ang mga mayari ng mga barko na yan. Nakakatawa ang gobyerno ng pilipinas. Nakakaawa mga kababayan natin,0,,youtube,tapos hindi na naman mananagot ang mga mayari ng mga barko na yan. nakakatawa ang gobyerno ng pilipinas. nakakaawa mga kababayan natin,0
232,"I hope govtn help them esp the fisherman’s,so they could get back.and start again",https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugx1pGT9UIcHzlzH_L94AaABAg,2024-08-05 20:03:59+00:00,"I hope govtn help them esp the fisherman’s,so they could get back.and start again",0,,youtube,"hope govtn help esp fisherman’s,so could get back.and start",0
233,Hndi pwede wla slang ga2win Cavitenyo si Revillia kailangan tulonggan nya ang Cavite para malutas ang problema at lhat bmlik pra kumita ang manggigisda.Hndi iyong nkatiwangwang at tao ang napu2wersyo.,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgyNPM03x4BMv_bWQ-J4AaABAg,2024-08-05 19:44:04+00:00,Hndi pwede wla slang ga2win Cavitenyo si Revillia kailangan tulonggan nya ang Cavite para malutas ang problema at lhat bmlik pra kumita ang manggigisda.Hndi iyong nkatiwangwang at tao ang napu2wersyo.,1,,youtube,hndi pwede wla slang ga2win cavitenyo si revillia kailangan tulonggan nya ang cavite para malutas ang problema lhat bmlik pra kumita ang manggigisda.hndi iyong nkatiwangwang tao ang napu2wersyo.,1
234,Pinagsasasabi netong ob ob nato,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgyNPM03x4BMv_bWQ-J4AaABAg.A6ljM63v4IOA6mHfb9jvxl,,Pinagsasasabi netong ob ob nato,0,UgyNPM03x4BMv_bWQ-J4AaABAg,youtube,pinagsasasabi netong ob ob nato,4
235,"diba dati yung nagka oil spill din, buhok ng tao ginamit nila?  diko lng maalala anung taon yun",https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwT-veMPFSZ-dQmWWV4AaABAg,2024-08-05 19:37:35+00:00,"diba dati yung nagka oil spill din, buhok ng tao ginamit nila?  diko lng maalala anung taon yun",0,,youtube,"diba dati yung nagka oil spill din, buhok ng tao ginamit nila? diko lng maalala anung taon yun",0
236,oo naalala ko yun. kumakapit daw ang langis sa buhok.,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwT-veMPFSZ-dQmWWV4AaABAg.A6libZjN7mCA6luwtEhPPU,,oo naalala ko yun. kumakapit daw ang langis sa buhok.,0,UgwT-veMPFSZ-dQmWWV4AaABAg,youtube,oo naalala ko yun. kumakapit daw ang langis sa buhok.,3
237,Sa Visayas Yun.,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwT-veMPFSZ-dQmWWV4AaABAg.A6libZjN7mCA6ly-JRQHoa,,Sa Visayas Yun.,0,UgwT-veMPFSZ-dQmWWV4AaABAg,youtube,sa visayas yun.,4
238,SA guimaras island yun,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwT-veMPFSZ-dQmWWV4AaABAg.A6libZjN7mCA6mHZWd0Vtk,,SA guimaras island yun,0,UgwT-veMPFSZ-dQmWWV4AaABAg,youtube,sa guimaras island yun,0
