conceptFrom,conceptTo,frequency,metaOntology,metaName
precautionary measure fish harvest,precautionary_measure_fish_harvest,1,UNKNOWN,
food poison,food_poison,2,UNKNOWN,
BFAR state,BFAR_state,1,UNKNOWN,
continuous fish sample tests,continuous_fish_sample_tests,1,UNKNOWN,
Central Luzon Calabarzon Cavite Laguna Batangas Rizal,Central_Luzon_Calabarzon_Cavite_Laguna_Batangas_Rizal,1,UNKNOWN,
National Capital Region,National_Capital_Region,5,UNKNOWN,
other seafood,other_seafood,1,UNKNOWN,
sensory evaluation show fish samples,sensory_evaluation_show_fish_samples,1,UNKNOWN,
Coast Guard fish,Coast_Guard_fish,1,UNKNOWN,
Health DOH,Health_DOH,2,UNKNOWN,
immediate health,immediate_health,1,UNKNOWN,
contamin water,contamin_water,1,UNKNOWN,
abdominal pain,abdominal_pain,1,UNKNOWN,
large quantities,large_quantities,1,UNKNOWN,
severe outcomes,severe_outcomes,1,UNKNOWN,
significant threat,significant_threat,2,UNKNOWN,
public health,public_health,2,UNKNOWN,
other forms,other_forms,1,UNKNOWN,
immediate symptoms,immediate_symptoms,1,UNKNOWN,
immediate medical attention,immediate_medical_attention,1,UNKNOWN,
nearest health facility,nearest_health_facility,2,UNKNOWN,
comprehensive guidelines,comprehensive_guidelines,1,UNKNOWN,
near areas impact,near_areas_impact,1,UNKNOWN,
recommend actions,recommend_actions,1,UNKNOWN,
essential precautions,essential_precautions,1,UNKNOWN,
follow measures,follow_measures,1,UNKNOWN,
specific instructions,specific_instructions,1,UNKNOWN,
cleanup workers,cleanup_workers,1,UNKNOWN,
health department,health_department,1,UNKNOWN,
rare Philippines,rare_Philippines,1,UNKNOWN,
extensive damage,extensive_damage,1,UNKNOWN,
significant health risks,significant_health_risks,1,UNKNOWN,
Bulacan Pampanga,Bulacan_Pampanga,1,UNKNOWN,
monthly revenue losses,monthly_revenue_losses,1,UNKNOWN,
livelihoods Data,livelihoods_Data,1,UNKNOWN,
further detail,further_detail,1,UNKNOWN,
progressive fisherfolk organization,progressive_fisherfolk_organization,1,UNKNOWN,
indefinite fish ban impos,indefinite_fish_ban_impos,1,UNKNOWN,
coastal towns,coastal_towns,4,UNKNOWN,
governments response,governments_response,1,UNKNOWN,
more harm,more_harm,1,UNKNOWN,
fishers livelihoods,fishers_livelihoods,1,UNKNOWN,
regular support,regular_support,1,UNKNOWN,
Toxic oil,Toxic_oil,1,UNKNOWN,
negative impacts,negative_impacts,1,UNKNOWN,
marine ecosystems,marine_ecosystems,1,UNKNOWN,
detrimental effects,detrimental_effects,1,UNKNOWN,
people wildlife,people_wildlife,1,UNKNOWN,
marine wildlife,marine_wildlife,1,UNKNOWN,
endang peoples health food supply,endang_peoples_health_food_supply,1,UNKNOWN,
jobs food exports,jobs_food_exports,1,UNKNOWN,
oil pollution,oil_pollution,2,UNKNOWN,
long-term impact,long-term_impact,1,UNKNOWN,
headlines fade,headlines_fade,1,UNKNOWN,
PH oil,PH_oil,1,UNKNOWN,
Sunken ship owner,Sunken_ship_owner,1,UNKNOWN,
green group,green_group,1,UNKNOWN,
Thursday septemb,Thursday_septemb,1,UNKNOWN,
recovery rate,recovery_rate,2,UNKNOWN,
salvor report,salvor_report,1,UNKNOWN,
PCG Harbor Star,PCG_Harbor_Star,2,UNKNOWN,
solid oil waste,solid_oil_waste,1,UNKNOWN,
oil cargo,oil_cargo,2,UNKNOWN,
various factors,various_factors,1,UNKNOWN,
dissipation absorption,dissipation_absorption,1,UNKNOWN,
oil Harbor Star,oil_Harbor_Star,1,UNKNOWN,
strip operation,strip_operation,1,UNKNOWN,
oil tanks,oil_tanks,1,UNKNOWN,
oil recovery operation,oil_recovery_operation,1,UNKNOWN,
PCG conduct,PCG_conduct,1,UNKNOWN,
final inspection,final_inspection,1,UNKNOWN,
Meanwhile investigation,Meanwhile_investigation,1,UNKNOWN,
concern parties,concern_parties,1,UNKNOWN,
other incidents,other_incidents,1,UNKNOWN,
President Ferdinand Marcos Jr,President_Ferdinand_Marcos_Jr,5,UNKNOWN,
May kinalaman ba,May_kinalaman_ba,1,UNKNOWN,
aid distribution event,aid_distribution_event,1,UNKNOWN,
Thursday accord,Thursday_accord,1,UNKNOWN,
Presidential Communications Office press statement,Presidential_Communications_Office_press_statement,1,UNKNOWN,
latest update,latest_update,1,UNKNOWN,
Saturday septemb,Saturday_septemb,1,UNKNOWN,
Wednesday septemb,Wednesday_septemb,1,UNKNOWN,
group demand,group_demand,1,UNKNOWN,
rehabilitate marine resources,rehabilitate_marine_resources,1,UNKNOWN,
post-harvest operations,post-harvest_operations,1,UNKNOWN,
red flags,red_flags,5,UNKNOWN,
coastline stretch,coastline_stretch,1,UNKNOWN,
coastal waters,coastal_waters,2,UNKNOWN,
devast oil,devast_oil,1,UNKNOWN,
previous years,previous_years,1,UNKNOWN,
industrial fuel capsiz,industrial_fuel_capsiz,1,UNKNOWN,
island province,island_province,1,UNKNOWN,
engine trouble,engine_trouble,1,UNKNOWN,
MT Princess,MT_Princess,1,UNKNOWN,
rough sea conditions,rough_sea_conditions,1,UNKNOWN,
follow day,follow_day,1,UNKNOWN,
sea level,sea_level,1,UNKNOWN,
island town,island_town,1,UNKNOWN,
declar states,declar_states,1,UNKNOWN,
government agencies,government_agencies,2,UNKNOWN,
Princess Empress INQUIR,Princess_Empress_INQUIR,1,UNKNOWN,
biggest oil,biggest_oil,1,UNKNOWN,
past years,past_years,1,UNKNOWN,
similar spills—some,similar_spills—some,1,UNKNOWN,
strong winds,strong_winds,2,UNKNOWN,
high waves,high_waves,1,UNKNOWN,
southern coast,southern_coast,1,UNKNOWN,
Zamboanga City,Zamboanga_City,1,UNKNOWN,
rough waves,rough_waves,1,UNKNOWN,
Lustan Known,Lustan_Known,1,UNKNOWN,
countrys history,countrys_history,5,UNKNOWN,
local ecosystem—includ,local_ecosystem—includ,1,UNKNOWN,
coral reefs—and,coral_reefs—and,1,UNKNOWN,
provinces marine resources,provinces_marine_resources,1,UNKNOWN,
Manila Bay Oil Spill Contingency Plan,Manila_Bay_Oil_Spill_Contingency_Plan,2,UNKNOWN,
largest oil,largest_oil,1,UNKNOWN,
July 1999,July_1999,1,UNKNOWN,
MT Mary Anne,MT_Mary_Anne,1,UNKNOWN,
total volume,total_volume,2,UNKNOWN,
991 liters,991_liters,1,UNKNOWN,
massive oil spill,massive_oil_spill,2,UNKNOWN,
aerial survey conduct,aerial_survey_conduct,1,UNKNOWN,
PCG discov,PCG_discov,1,UNKNOWN,
Initial investigations point,Initial_investigations_point,1,UNKNOWN,
spill environmental advocates,spill_environmental_advocates,1,UNKNOWN,
repeat performance,repeat_performance,1,UNKNOWN,
worst maritime oil disast,worst_maritime_oil_disast,1,UNKNOWN,
massive oil,massive_oil,2,UNKNOWN,
March 1999,March_1999,1,UNKNOWN,
Sea Brothers,Sea_Brothers,1,UNKNOWN,
oil barge,oil_barge,1,UNKNOWN,
National power,National_power,1,UNKNOWN,
square kilometers,square_kilometers,3,UNKNOWN,
beach area,beach_area,1,UNKNOWN,
key economic gateway,key_economic_gateway,1,UNKNOWN,
countrys economic activities,countrys_economic_activities,1,UNKNOWN,
Nations Development program,Nations_Development_program,1,UNKNOWN,
Maritime Organization Regional program,Maritime_Organization_Regional_program,1,UNKNOWN,
East Asia,East_Asia,1,UNKNOWN,
cargo ships,cargo_ships,1,UNKNOWN,
ship-sourc pollution,ship-sourc_pollution,1,UNKNOWN,
illegal operational discharge,illegal_operational_discharge,1,UNKNOWN,
GRAPHIC ed Lustan Oil spills,GRAPHIC_ed_Lustan_Oil_spills,1,UNKNOWN,
oil refineries,oil_refineries,1,UNKNOWN,
Bays shoreline,Bays_shoreline,1,UNKNOWN,
Manila Bay coast,Manila_Bay_coast,1,UNKNOWN,
large depot,large_depot,1,UNKNOWN,
Pasig river,Pasig_river,1,UNKNOWN,
tank farms,tank_farms,1,UNKNOWN,
Historical data,Historical_data,1,UNKNOWN,
751 liters,751_liters,1,UNKNOWN,
most oil,most_oil,1,UNKNOWN,
crucial parts,crucial_parts,1,UNKNOWN,
risk assessment,risk_assessment,1,UNKNOWN,
risk factors,risk_factors,2,UNKNOWN,
Manila Bay waters base,Manila_Bay_waters_base,1,UNKNOWN,
risk-caus factors,risk-caus_factors,1,UNKNOWN,
GRAPHIC ed,GRAPHIC_ed,1,UNKNOWN,
common factors,common_factors,1,UNKNOWN,
various shipping-rel risks,various_shipping-rel_risks,1,UNKNOWN,
flow weather,flow_weather,1,UNKNOWN,
current wind temperature sea state,current_wind_temperature_sea_state,1,UNKNOWN,
future trends,future_trends,1,UNKNOWN,
oil terminals,oil_terminals,1,UNKNOWN,
response team,response_team,1,UNKNOWN,
PCG secur,PCG_secur,1,UNKNOWN,
National Operation center,National_Operation_center,1,UNKNOWN,
top sources,top_sources,1,UNKNOWN,
major spills,major_spills,1,UNKNOWN,
major oil,major_oil,2,UNKNOWN,
foreign vessels,foreign_vessels,1,UNKNOWN,
international trade,international_trade,1,UNKNOWN,
power plants,power_plants,1,UNKNOWN,
refineries terminals,refineries_terminals,1,UNKNOWN,
oil exploration,oil_exploration,1,UNKNOWN,
production activities,production_activities,1,UNKNOWN,
mine activities,mine_activities,1,UNKNOWN,
manufactur activities,manufactur_activities,1,UNKNOWN,
Next devast impacts,Next_devast_impacts,1,UNKNOWN,
costly cleanups recovery,costly_cleanups_recovery,1,UNKNOWN,
sunken Motor,sunken_Motor,3,UNKNOWN,
Photo courtesy,Photo_courtesy,3,UNKNOWN,
rush efforts,rush_efforts,1,UNKNOWN,
local oil,local_oil,1,UNKNOWN,
early Thursday accord,early_Thursday_accord,2,UNKNOWN,
Rear Adm,Rear_Adm,1,UNKNOWN,
PCG spokesperson,PCG_spokesperson,1,UNKNOWN,
rough waters,rough_waters,1,UNKNOWN,
ships cargo,ships_cargo,1,UNKNOWN,
big danger,big_danger,2,UNKNOWN,
fuel leaks,fuel_leaks,1,UNKNOWN,
Manila Bay Bay,Manila_Bay_Bay,1,UNKNOWN,
miss crew member,miss_crew_member,2,UNKNOWN,
Thursday afternoon,Thursday_afternoon,1,UNKNOWN,
shallow Limay,shallow_Limay,1,UNKNOWN,
surviv crew,surviv_crew,1,UNKNOWN,
Wednesday night,Wednesday_night,1,UNKNOWN,
hard time return,hard_time_return,1,UNKNOWN,
strong waves,strong_waves,2,UNKNOWN,
nearby provinces,nearby_provinces,1,UNKNOWN,
torrential rains,torrential_rains,1,UNKNOWN,
Carina international name,Carina_international_name,3,UNKNOWN,
Thursday night,Thursday_night,1,UNKNOWN,
Novas ship,Novas_ship,1,UNKNOWN,
Ship Management,Ship_Management,2,UNKNOWN,
dead crew member,dead_crew_member,1,UNKNOWN,
Second buddy Alvin Llandelar,Second_buddy_Alvin_Llandelar,1,UNKNOWN,
aerial inspection,aerial_inspection,2,UNKNOWN,
long east,long_east,1,UNKNOWN,
strong currents,strong_currents,1,UNKNOWN,
minimal accord,minimal_accord,1,UNKNOWN,
environmental protection personnel,environmental_protection_personnel,4,UNKNOWN,
22-year-old tanker,22-year-old_tanker,1,UNKNOWN,
last year,last_year,4,UNKNOWN,
km northeast,km_northeast,1,UNKNOWN,
Point Pola Oriental Mindoro,Point_Pola_Oriental_Mindoro,1,UNKNOWN,
MR Princess Empress,MR_Princess_Empress,1,UNKNOWN,
Batangas provinces,Batangas_provinces,1,UNKNOWN,
President Marcos order,President_Marcos_order,1,UNKNOWN,
Natural Resources DENR,Natural_Resources_DENR,2,UNKNOWN,
immediate meteorological assessments,immediate_meteorological_assessments,1,UNKNOWN,
difficult Technology,difficult_Technology,1,UNKNOWN,
coastal areas,coastal_areas,10,UNKNOWN,
Limay Vice Mayor Richie David,Limay_Vice_Mayor_Richie_David,1,UNKNOWN,
salvage operation,salvage_operation,1,UNKNOWN,
weather conditions,weather_conditions,2,UNKNOWN,
David caution residents,David_caution_residents,1,UNKNOWN,
Bataan Government Joet Garcia assur residents,Bataan_Government_Joet_Garcia_assur_residents,1,UNKNOWN,
local government,local_government,2,UNKNOWN,
Barangay Lamao,Barangay_Lamao,1,UNKNOWN,
Young ñ,Young_ñ,1,UNKNOWN,
alone hundreds,alone_hundreds,1,UNKNOWN,
several days,several_days,1,UNKNOWN,
marine resources,marine_resources,2,UNKNOWN,
very source,very_source,1,UNKNOWN,
Nuclear Coal-Free,Nuclear_Coal-Free,1,UNKNOWN,
Environmental group Greenpeace,Environmental_group_Greenpeace,1,UNKNOWN,
sunken tanker,sunken_tanker,7,UNKNOWN,
tick time bomb,tick_time_bomb,2,UNKNOWN,
health safety,health_safety,1,UNKNOWN,
CITY OF,CITY_OF,1,UNKNOWN,
Philippines — Fish,Philippines_—_Fish,1,UNKNOWN,
other sea products,other_sea_products,1,UNKNOWN,
recent oil spill,recent_oil_spill,1,UNKNOWN,
provinces waters officials,provinces_waters_officials,1,UNKNOWN,
Julius Victor,Julius_Victor,1,UNKNOWN,
Natural Resources Office Benro,Natural_Resources_Office_Benro,1,UNKNOWN,
aquaculture products,aquaculture_products,1,UNKNOWN,
informal sensory evaluations,informal_sensory_evaluations,1,UNKNOWN,
safety assurance,safety_assurance,1,UNKNOWN,
noticeable decline,noticeable_decline,1,UNKNOWN,
public concern,public_concern,1,UNKNOWN,
Provincial disast Risk Reduction Management Office,Provincial_disast_Risk_Reduction_Management_Office,1,UNKNOWN,
Provincial Agriculture Office,Provincial_Agriculture_Office,1,UNKNOWN,
fish stalls,fish_stalls,1,UNKNOWN,
public markets,public_markets,2,UNKNOWN,
Paombong Bulakan,Paombong_Bulakan,1,UNKNOWN,
Malolos City,Malolos_City,1,UNKNOWN,
Management Team creat,Management_Team_creat,1,UNKNOWN,
Government Daniel,Government_Daniel,1,UNKNOWN,
technical teams findings,technical_teams_findings,1,UNKNOWN,
general concern,general_concern,1,UNKNOWN,
confirm reports,confirm_reports,1,UNKNOWN,
Oil Spill Incident Management Team,Oil_Spill_Incident_Management_Team,1,UNKNOWN,
sniff test,sniff_test,1,UNKNOWN,
public market,public_market,1,UNKNOWN,
30-member team,30-member_team,1,UNKNOWN,
several markets,several_markets,1,UNKNOWN,
province aim,province_aim,1,UNKNOWN,
Wilfredo Cruz Central Luzon director,Wilfredo_Cruz_Central_Luzon_director,1,UNKNOWN,
sensory evaluation,sensory_evaluation,5,UNKNOWN,
seafood Cruz,seafood_Cruz,1,UNKNOWN,
local officials,local_officials,1,UNKNOWN,
boodle fight,boodle_fight,1,UNKNOWN,
Malabon City,Malabon_City,1,UNKNOWN,
National disast Risk Reduction,National_disast_Risk_Reduction,2,UNKNOWN,
Management Council,Management_Council,3,UNKNOWN,
information drive,information_drive,1,UNKNOWN,
chief Manuel Lukban Jr,chief_Manuel_Lukban_Jr,1,UNKNOWN,
local suppliers,local_suppliers,1,UNKNOWN,
fishpond operator,fishpond_operator,1,UNKNOWN,
daily sales,daily_sales,1,UNKNOWN,
bangus milkfish,bangus_milkfish,1,UNKNOWN,
local fishponds,local_fishponds,1,UNKNOWN,
65-percent drop,65-percent_drop,1,UNKNOWN,
Fish vendor Jocelyn Lomotan,Fish_vendor_Jocelyn_Lomotan,1,UNKNOWN,
sluggish sale,sluggish_sale,1,UNKNOWN,
Malolos City public market,Malolos_City_public_market,1,UNKNOWN,
Norma David,Norma_David,1,UNKNOWN,
fish dealer,fish_dealer,1,UNKNOWN,
regular customers,regular_customers,1,UNKNOWN,
Maria town,Maria_town,1,UNKNOWN,
regular prices,regular_prices,1,UNKNOWN,
lower people,lower_people,1,UNKNOWN,
aerial image,aerial_image,2,UNKNOWN,
environmental group,environmental_group,3,UNKNOWN,
bad weather,bad_weather,5,UNKNOWN,
Greenpeace ENVIRONMENTAL,Greenpeace_ENVIRONMENTAL,1,UNKNOWN,
—Noel Celis,—Noel_Celis,1,UNKNOWN,
alert coastal communities,alert_coastal_communities,1,UNKNOWN,
coastal residents,coastal_residents,2,UNKNOWN,
distinctive odor associ,distinctive_odor_associ,1,UNKNOWN,
Sunday morn,Sunday_morn,1,UNKNOWN,
READ PH Coast Guard battles,READ_PH_Coast_Guard_battles,1,UNKNOWN,
worst fear,worst_fear,1,UNKNOWN,
vast Manila Bay,vast_Manila_Bay,1,UNKNOWN,
many fishermen,many_fishermen,1,UNKNOWN,
vice chair,vice_chair,1,UNKNOWN,
farm-gate prices,farm-gate_prices,1,UNKNOWN,
catch Bay,catch_Bay,1,UNKNOWN,
group estim,group_estim,1,UNKNOWN,
sunken tankers,sunken_tankers,1,UNKNOWN,
final mobilization,final_mobilization,1,UNKNOWN,
siphon equipment,siphon_equipment,1,UNKNOWN,
Station command,Station_command,1,UNKNOWN,
Michael John Encina,Michael_John_Encina,1,UNKNOWN,
Monday afternoon,Monday_afternoon,1,UNKNOWN,
Monday consid,Monday_consid,1,UNKNOWN,
stormy weather,stormy_weather,1,UNKNOWN,
crew member,crew_member,2,UNKNOWN,
ships sister vessel,ships_sister_vessel,1,UNKNOWN,
environmental catastrophe,environmental_catastrophe,1,UNKNOWN,
entire cargo,entire_cargo,1,UNKNOWN,
siphon operation,siphon_operation,8,UNKNOWN,
vessel sank,vessel_sank,1,UNKNOWN,
kilometers July,kilometers_July,1,UNKNOWN,
same time July,same_time_July,1,UNKNOWN,
verifi reports,verifi_reports,1,UNKNOWN,
releas photos,releas_photos,1,UNKNOWN,
oil sheen,oil_sheen,2,UNKNOWN,
mere fact,mere_fact,1,UNKNOWN,
prepar charges,prepar_charges,1,UNKNOWN,
Monday Interior Secretary,Monday_Interior_Secretary,1,UNKNOWN,
daily water sampl,daily_water_sampl,1,UNKNOWN,
aquatic resources,aquatic_resources,1,UNKNOWN,
Mallari Jr,Mallari_Jr,1,UNKNOWN,
Joanna Rose Aglibot Carmela Reyes-Estrope,Joanna_Rose_Aglibot_Carmela_Reyes-Estrope,1,UNKNOWN,
Frances mangos,Frances_mangos,1,UNKNOWN,
MANILA Philippines — Cavite Government Jonvic Remulla,MANILA_Philippines_—_Cavite_Government_Jonvic_Remulla,1,UNKNOWN,
provinces residents,provinces_residents,1,UNKNOWN,
proper compensation,proper_compensation,1,UNKNOWN,
amount estim,amount_estim,1,UNKNOWN,
due time,due_time,1,UNKNOWN,
governors office,governors_office,1,UNKNOWN,
Tuesday morn,Tuesday_morn,1,UNKNOWN,
READ Cavite,READ_Cavite,2,UNKNOWN,
tanker owner,tanker_owner,2,UNKNOWN,
provincial government,provincial_government,7,UNKNOWN,
standard procedure,standard_procedure,1,UNKNOWN,
social media,social_media,1,UNKNOWN,
day multipli,day_multipli,1,UNKNOWN,
fisherfolk market vendors,fisherfolk_market_vendors,1,UNKNOWN,
separate brief radio interview,separate_brief_radio_interview,1,UNKNOWN,
criminal liability,criminal_liability,1,UNKNOWN,
Ships Co,Ships_Co,5,UNKNOWN,
Iloilo City,Iloilo_City,1,UNKNOWN,
Harbor Bulk Terminal Corp,Harbor_Bulk_Terminal_Corp,1,UNKNOWN,
San Miguel Corp,San_Miguel_Corp,1,UNKNOWN,
largest conglomerate,largest_conglomerate,1,UNKNOWN,
Saturday Remulla announc Philippines,Saturday_Remulla_announc_Philippines,1,UNKNOWN,
criminal charges,criminal_charges,1,UNKNOWN,
Terranova owner,Terranova_owner,3,UNKNOWN,
affect residents,affect_residents,2,UNKNOWN,
Justice Secretary Jesus Crispin,Justice_Secretary_Jesus_Crispin,1,UNKNOWN,
recent maritime mishaps,recent_maritime_mishaps,1,UNKNOWN,
criminal cases,criminal_cases,1,UNKNOWN,
anoth vessel,anoth_vessel,1,UNKNOWN,
Mariveles town,Mariveles_town,1,UNKNOWN,
Cavite provincial government,Cavite_provincial_government,1,UNKNOWN,
Rosario Kawit,Rosario_Kawit,2,UNKNOWN,
marine products,marine_products,2,UNKNOWN,
coastal barangays,coastal_barangays,2,UNKNOWN,
Regional disast,Regional_disast,1,UNKNOWN,
CONTAIN THE,CONTAIN_THE,2,UNKNOWN,
tugboat hire,tugboat_hire,4,UNKNOWN,
—INQUIR file photo,—INQUIR_file_photo,2,UNKNOWN,
Senate inquiry,Senate_inquiry,1,UNKNOWN,
earlier file,earlier_file,1,UNKNOWN,
marine biodiversity,marine_biodiversity,1,UNKNOWN,
food security,food_security,1,UNKNOWN,
Cavite Metro Manila,Cavite_Metro_Manila,1,UNKNOWN,
nearby areas,nearby_areas,1,UNKNOWN,
such incidents,such_incidents,1,UNKNOWN,
toxic substance,toxic_substance,1,UNKNOWN,
fish sector,fish_sector,1,UNKNOWN,
news release,news_release,1,UNKNOWN,
similar occurrences,similar_occurrences,1,UNKNOWN,
other agencies,other_agencies,4,UNKNOWN,
fish vendors,fish_vendors,1,UNKNOWN,
lower catch,lower_catch,1,UNKNOWN,
subsequent fish,subsequent_fish,1,UNKNOWN,
interview sellers,interview_sellers,1,UNKNOWN,
many stalls,many_stalls,1,UNKNOWN,
Assistant Secretary Arnel De Mesa,Assistant_Secretary_Arnel_De_Mesa,1,UNKNOWN,
radio program,radio_program,1,UNKNOWN,
response De Mesa,response_De_Mesa,1,UNKNOWN,
Development DSWD,Development_DSWD,2,UNKNOWN,
Trade Industry,Trade_Industry,1,UNKNOWN,
receiv assistance,receiv_assistance,1,UNKNOWN,
United_States Coast Guard,United_States_Coast_Guard,3,UNKNOWN,
National Oceanic,National_Oceanic,2,UNKNOWN,
Atmospheric Administration,Atmospheric_Administration,2,UNKNOWN,
fuel subsidies,fuel_subsidies,2,UNKNOWN,
least 780 meters,least_780_meters,2,UNKNOWN,
waste products,waste_products,3,UNKNOWN,
plastic bottles,plastic_bottles,3,UNKNOWN,
fuel oil,fuel_oil,4,UNKNOWN,
Pampanga provincial government,Pampanga_provincial_government,1,UNKNOWN,
Management Council PDRRMC,Management_Council_PDRRMC,1,UNKNOWN,
booms span,booms_span,1,UNKNOWN,
Baruya river,Baruya_river,1,UNKNOWN,
Mabuanbuan river,Mabuanbuan_river,1,UNKNOWN,
stacks accord,stacks_accord,1,UNKNOWN,
Angelina Blanco,Angelina_Blanco,1,UNKNOWN,
Quezon provinces,Quezon_provinces,1,UNKNOWN,
hair Pampanga,hair_Pampanga,1,UNKNOWN,
provincial government environment,provincial_government_environment,1,UNKNOWN,
natural resources offices,natural_resources_offices,1,UNKNOWN,
laboratory results,laboratory_results,1,UNKNOWN,
air samples,air_samples,1,UNKNOWN,
inquir source,inquir_source,1,UNKNOWN,
stations record,stations_record,1,UNKNOWN,
standard findings,standard_findings,1,UNKNOWN,
PDRRMC chair,PDRRMC_chair,1,UNKNOWN,
Government Dennis,Government_Dennis,1,UNKNOWN,
fishpond operators,fishpond_operators,1,UNKNOWN,
owners workers vendors,owners_workers_vendors,1,UNKNOWN,
big fishpond owner,big_fishpond_owner,1,UNKNOWN,
wait-and-see mode,wait-and-see_mode,1,UNKNOWN,
early harvest,early_harvest,1,UNKNOWN,
inland ponds,inland_ponds,1,UNKNOWN,
daily supplies,daily_supplies,1,UNKNOWN,
far business,far_business,1,UNKNOWN,
INQ Subscribe,INQ_Subscribe,1,UNKNOWN,
Reyes LUCENA CITY QUEZON Philippines,Reyes_LUCENA_CITY_QUEZON_Philippines,1,UNKNOWN,
government assistance,government_assistance,1,UNKNOWN,
Todays distribution,Todays_distribution,1,UNKNOWN,
comprehensive relief,comprehensive_relief,1,UNKNOWN,
recovery plan,recovery_plan,1,UNKNOWN,
affect fisherfolk,affect_fisherfolk,1,UNKNOWN,
Velayo Jr,Velayo_Jr,1,UNKNOWN,
social media post,social_media_post,1,UNKNOWN,
continuous support,continuous_support,1,UNKNOWN,
restoration initiatives,restoration_initiatives,1,UNKNOWN,
environmental rehabilitation efforts,environmental_rehabilitation_efforts,1,UNKNOWN,
Cavite government,Cavite_government,1,UNKNOWN,
food packages,food_packages,1,UNKNOWN,
receiv food assistance,receiv_food_assistance,1,UNKNOWN,
tanker spread,tanker_spread,1,UNKNOWN,
other provinces,other_provinces,1,UNKNOWN,
Manila Bay includ Cavite,Manila_Bay_includ_Cavite,1,UNKNOWN,
towns—Cavite City,towns—Cavite_City,1,UNKNOWN,
Bacoor City,Bacoor_City,1,UNKNOWN,
access emergency funds,access_emergency_funds,1,UNKNOWN,
relief operations,relief_operations,1,UNKNOWN,
Government Jonvic Remulla,Government_Jonvic_Remulla,1,UNKNOWN,
Calabarzon Regional,Calabarzon_Regional,1,UNKNOWN,
estim loss,estim_loss,1,UNKNOWN,
income amount,income_amount,1,UNKNOWN,
Local Government DILG,Local_Government_DILG,1,UNKNOWN,
full probe,full_probe,1,UNKNOWN,
MT Jason Bradley,MT_Jason_Bradley,4,UNKNOWN,
further spread,further_spread,1,UNKNOWN,
Interior Secretary Benhur Abalos,Interior_Secretary_Benhur_Abalos,1,UNKNOWN,
second layer,second_layer,1,UNKNOWN,
private vessels,private_vessels,1,UNKNOWN,
work fuel spill,work_fuel_spill,2,UNKNOWN,
MT Terra Nova,MT_Terra_Nova,3,UNKNOWN,
ensu oil spill,ensu_oil_spill,1,UNKNOWN,
submerg Motor tanker MT Terra Nova,submerg_Motor_tanker_MT_Terra_Nova,1,UNKNOWN,
Philippine Coast Guard PCG spokesperson Rear Admiral Armand Balilo,Philippine_Coast_Guard_PCG_spokesperson_Rear_Admiral_Armand_Balilo,2,UNKNOWN,
countrys capital Manila,countrys_capital_Manila,1,UNKNOWN,
Manila Bay Balilo,Manila_Bay_Balilo,1,UNKNOWN,
online brief,online_brief,1,UNKNOWN,
fuel spill,fuel_spill,1,UNKNOWN,
Bay note,Bay_note,1,UNKNOWN,
contingency plan,contingency_plan,2,UNKNOWN,
worst-case situation,worst-case_situation,1,UNKNOWN,
PCGs marine,PCGs_marine,1,UNKNOWN,
FILE PHOTO Philippine Coast Guard spokesperson Capt,FILE_PHOTO_Philippine_Coast_Guard_spokesperson_Capt,1,UNKNOWN,
Armand Balilo,Armand_Balilo,1,UNKNOWN,
PCG dispatch personnel,PCG_dispatch_personnel,1,UNKNOWN,
possible oil,possible_oil,2,UNKNOWN,
rescue operations,rescue_operations,2,UNKNOWN,
PCG personnel,PCG_personnel,1,UNKNOWN,
vessel continu,vessel_continu,1,UNKNOWN,
biggest oil spill,biggest_oil_spill,1,UNKNOWN,
MT Princess Empress carri,MT_Princess_Empress_carri,1,UNKNOWN,
Verde Island Passage shores,Verde_Island_Passage_shores,1,UNKNOWN,
few months,few_months,1,UNKNOWN,
Civil Defense,Civil_Defense,3,UNKNOWN,
government shell,government_shell,1,UNKNOWN,
industrial fuel carri,industrial_fuel_carri,1,UNKNOWN,
Oriental Mindoro incident,Oriental_Mindoro_incident,1,UNKNOWN,
President Marcos,President_Marcos,2,UNKNOWN,
motor tankers,motor_tankers,1,UNKNOWN,
vessels involv,vessels_involv,2,UNKNOWN,
Presidential Communications Office PCO quot Marcos,Presidential_Communications_Office_PCO_quot_Marcos,1,UNKNOWN,
government officials,government_officials,1,UNKNOWN,
month Justice Undersecretary Raul Vasquez,month_Justice_Undersecretary_Raul_Vasquez,1,UNKNOWN,
news forum,news_forum,1,UNKNOWN,
Jason Bradley MV Mirola,Jason_Bradley_MV_Mirola,1,UNKNOWN,
pend case,pend_case,2,UNKNOWN,
justice department,justice_department,1,UNKNOWN,
oil leakage,oil_leakage,1,UNKNOWN,
waste management facility,waste_management_facility,1,UNKNOWN,
proper disposal,proper_disposal,1,UNKNOWN,
financial aid,financial_aid,1,UNKNOWN,
693 fisherfolk,693_fisherfolk,1,UNKNOWN,
gill nets,gill_nets,1,UNKNOWN,
fish process utensils,fish_process_utensils,1,UNKNOWN,
speaker Martin,speaker_Martin,1,UNKNOWN,
MANILA Philippines - President Ferdinand Marcos Jr,MANILA_Philippines_-_President_Ferdinand_Marcos_Jr,1,UNKNOWN,
still unsafe,still_unsafe,2,UNKNOWN,
City Cavite City Noveleta Rosario,City_Cavite_City_Noveleta_Rosario,1,UNKNOWN,
